dim_time_id,date_value,day,month,year,quarter
4,2021-01-06 00:00:00.000000 UTC,6,1,2021,Q1(2021)
2,2021-01-02 00:00:00.000000 UTC,2,1,2021,Q1(2021)
5,2021-01-11 00:00:00.000000 UTC,11,1,2021,Q1(2021)
1,2021-01-01 00:00:00.000000 UTC,1,1,2021,Q1(2021)
6,2021-01-19 00:00:00.000000 UTC,19,1,2021,Q1(2021)
3,2021-01-03 00:00:00.000000 UTC,3,1,2021,Q1(2021)
90,2022-01-26 00:00:00.000000 UTC,26,1,2022,Q1(2022)
84,2022-01-08 00:00:00.000000 UTC,8,1,2022,Q1(2022)
85,2022-01-08 00:00:00.000000 UTC,8,1,2022,Q1(2022)
88,2022-01-13 00:00:00.000000 UTC,13,1,2022,Q1(2022)
89,2022-01-18 00:00:00.000000 UTC,18,1,2022,Q1(2022)
87,2022-01-10 00:00:00.000000 UTC,10,1,2022,Q1(2022)
86,2022-01-09 00:00:00.000000 UTC,9,1,2022,Q1(2022)
172,2023-01-20 00:00:00.000000 UTC,20,1,2023,Q1(2023)
168,2023-01-15 00:00:00.000000 UTC,15,1,2023,Q1(2023)
173,2023-01-25 00:00:00.000000 UTC,25,1,2023,Q1(2023)
170,2023-01-16 00:00:00.000000 UTC,16,1,2023,Q1(2023)
167,2023-01-02 00:00:00.000000 UTC,2,1,2023,Q1(2023)
171,2023-01-17 00:00:00.000000 UTC,17,1,2023,Q1(2023)
169,2023-01-15 00:00:00.000000 UTC,15,1,2023,Q1(2023)
256,2024-01-27 00:00:00.000000 UTC,27,1,2024,Q1(2024)
252,2024-01-22 00:00:00.000000 UTC,22,1,2024,Q1(2024)
255,2024-01-24 00:00:00.000000 UTC,24,1,2024,Q1(2024)
251,2024-01-09 00:00:00.000000 UTC,9,1,2024,Q1(2024)
254,2024-01-23 00:00:00.000000 UTC,23,1,2024,Q1(2024)
250,2024-01-01 00:00:00.000000 UTC,1,1,2024,Q1(2024)
253,2024-01-22 00:00:00.000000 UTC,22,1,2024,Q1(2024)
336,2025-01-28 00:00:00.000000 UTC,28,1,2025,Q1(2025)
339,2025-01-30 00:00:00.000000 UTC,30,1,2025,Q1(2025)
337,2025-01-28 00:00:00.000000 UTC,28,1,2025,Q1(2025)
338,2025-01-29 00:00:00.000000 UTC,29,1,2025,Q1(2025)
333,2025-01-02 00:00:00.000000 UTC,2,1,2025,Q1(2025)
335,2025-01-15 00:00:00.000000 UTC,15,1,2025,Q1(2025)
334,2025-01-07 00:00:00.000000 UTC,7,1,2025,Q1(2025)
7,2021-02-01 00:00:00.000000 UTC,1,2,2021,Q1(2021)
8,2021-02-01 00:00:00.000000 UTC,1,2,2021,Q1(2021)
11,2021-02-06 00:00:00.000000 UTC,6,2,2021,Q1(2021)
13,2021-02-19 00:00:00.000000 UTC,19,2,2021,Q1(2021)
12,2021-02-11 00:00:00.000000 UTC,11,2,2021,Q1(2021)
9,2021-02-02 00:00:00.000000 UTC,2,2,2021,Q1(2021)
10,2021-02-03 00:00:00.000000 UTC,3,2,2021,Q1(2021)
91,2022-02-08 00:00:00.000000 UTC,8,2,2022,Q1(2022)
92,2022-02-08 00:00:00.000000 UTC,8,2,2022,Q1(2022)
93,2022-02-09 00:00:00.000000 UTC,9,2,2022,Q1(2022)
96,2022-02-18 00:00:00.000000 UTC,18,2,2022,Q1(2022)
