dim_track_id,track_name,album_name,artist_name,composer,genre,mediatype
3608,Track 3608,Big Ones,Aerosmith,Kurt Cobain,CCM,Purchased AAC audio file
3643,Revolution's End,Big Ones,Aerosmith,Jimi Hendrix,K-Pop,AAC audio file
3515,Revolution's End,Big Ones,Aerosmith,"Mick Jagger, Keith Richards",Romantic,MPEG audio file
3653,Starlight Serenade,Big Ones,Aerosmith,Jimi Hendrix,Punk,Purchased AAC audio file
3694,Fading Stardust,Big Ones,Aerosmith,Kurt Cobain,Fusion,MPEG audio file
3608,Fading Stardust,Big Ones,Aerosmith,David Bowie,Halloween,Protected AAC audio file
3669,Electric Soul,Big Ones,Aerosmith,"Mick Jagger, Keith Richards",Steampunk,AAC audio file
3609,Midnight Drive,Big Ones,Aerosmith,"James Hetfield, Lars Ulrich",Baladas y Boleros,MPEG audio file
3540,Dreams of a Rebel,Faceless,Godsmack,"John Lennon, Paul McCartney",Hardcore Rap,Protected AAC audio file
3726,Track 3726,Faceless,Godsmack,Kurt Cobain,Quiet Storm,Protected MPEG-4 video file
3713,Track 3713,Faceless,Godsmack,Kurt Cobain,Modern Composition,Protected MPEG-4 video file
3686,Lost in the Beat,Faceless,Godsmack,Kurt Cobain,Christmas: Pop,Protected AAC audio file
3583,Track 3583,Facelift,Alice In Chains,David Bowie,Conjunto,Protected MPEG-4 video file
3530,Frozen in Time,Facelift,Alice In Chains,"Mick Jagger, Keith Richards",Ethio-jazz,MPEG audio file
3605,Track 3605,Fireball,Deep Purple,Freddie Mercury,Chamber Music,Protected AAC audio file
3668,Track 3668,Fireball,Deep Purple,"Mick Jagger, Keith Richards",Blue Note,Protected MPEG-4 video file
3573,Echoes of Yesterday,Fireball,Deep Purple,"Mick Jagger, Keith Richards",Breakbeat,MPEG audio file
3534,Track 3534,Na Pista,Cláudio Zoli,"James Hetfield, Lars Ulrich",Pop/Rock,AAC audio file
3519,Lost in the Beat,Na Pista,Cláudio Zoli,"Bono, The Edge",Chant,Protected AAC audio file
3549,Lost in the Beat,Outbreak,Dennis Chambers,Kurt Cobain,Christmas,Purchased AAC audio file
3601,Burning Bridges,Outbreak,Dennis Chambers,"James Hetfield, Lars Ulrich",Arena Rock,AAC audio file
3652,Track 3652,Unplugged,Eric Clapton,"John Lennon, Paul McCartney",Doo Wop,AAC audio file
3709,Track 3709,Unplugged,Eric Clapton,"Bono, The Edge",Choral,AAC audio file
3686,Track 3686,Unplugged,Eric Clapton,"James Hetfield, Lars Ulrich",Singer/Songwriter,Protected AAC audio file
3676,Whispers in the Dark,Unplugged,Eric Clapton,"Robert Plant, Jimmy Page",Britpop,Protected AAC audio file
3712,Dreams of a Rebel,Unplugged,Eric Clapton,Freddie Mercury,Sing-Along,Protected MPEG-4 video file
3577,Track 3577,Unplugged,Eric Clapton,"Bono, The Edge",Doo Wop,AAC audio file
3510,Track 3510,Unplugged,Eric Clapton,Kurt Cobain,Modern Composition,Protected MPEG-4 video file
3512,Phoenix Rising,Angel Dust,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",Hardcore,Protected AAC audio file
3578,Into the Abyss,Angel Dust,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",Classical Crossover,Protected MPEG-4 video file
3595,Revolution's End,Angel Dust,Faith No More,Kurt Cobain,Original Score,Protected AAC audio file
3596,Dreams of a Rebel,Angel Dust,Faith No More,"James Hetfield, Lars Ulrich",Inspirational – Christian & Gospel,Purchased AAC audio file
3563,Track 3563,Angel Dust,Faith No More,"Mick Jagger, Keith Richards",Contemporary Blues,Protected MPEG-4 video file
3559,Track 3559,Angel Dust,Faith No More,"Bono, The Edge",Breakbeat,Protected AAC audio file
3520,Burning Bridges,Angel Dust,Faith No More,David Bowie,Instrumental,Purchased AAC audio file
3551,Track 3551,Angel Dust,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",New Mex,Protected MPEG-4 video file
3554,Sunset Overdrive,Angel Dust,Faith No More,"Angus Young, Malcolm Young, Brian Johnson",Gangsta Rap,Protected MPEG-4 video file
3682,Frozen in Time,Angel Dust,Faith No More,David Bowie,Dirty South,Protected MPEG-4 video file
3577,Into the Abyss,Audioslave,Audioslave,"Angus Young, Malcolm Young, Brian Johnson",Musicals,MPEG audio file
3667,Track 3667,Audioslave,Audioslave,Jimi Hendrix,Smooth Jazz,MPEG audio file
3525,The Last Encore,Audioslave,Audioslave,"Mick Jagger, Keith Richards",New Wave,AAC audio file
3618,Fading Stardust,Audioslave,Audioslave,"Mick Jagger, Keith Richards",J-Synth,AAC audio file
3674,Starlight Serenade,Audioslave,Audioslave,Jimi Hendrix,Travel,MPEG audio file
3651,Waves of the Past,Blue Moods,Incognito,"Bono, The Edge",Urban Cowboy,Protected MPEG-4 video file
3634,Frozen in Time,Blue Moods,Incognito,"Angus Young, Malcolm Young, Brian Johnson",Acid Jazz (with thx to Hunter,Purchased AAC audio file
3623,Track 3623,Blue Moods,Incognito,David Bowie,Latino,Protected MPEG-4 video file
3529,Chasing Shadows,Blue Moods,Incognito,"John Lennon, Paul McCartney",New Acoustic,AAC audio file
3552,Sunset Overdrive,Body Count,Body Count,"John Lennon, Paul McCartney",Conjunto,Protected MPEG-4 video file
3678,Echoes of Yesterday,Bongo Fury,Frank Zappa & Captain Beefheart,Freddie Mercury,Romantic,MPEG audio file
3716,Track 3716,Bongo Fury,Frank Zappa & Captain Beefheart,"Robert Plant, Jimmy Page",TV Soundtrack,Protected AAC audio file
3527,Track 3527,Bongo Fury,Frank Zappa & Captain Beefheart,Freddie Mercury,Industrial,MPEG audio file
3670,Midnight Drive,Bongo Fury,Frank Zappa & Captain Beefheart,Jimi Hendrix,New Mex,MPEG audio file
3560,Burning Bridges,Bongo Fury,Frank Zappa & Captain Beefheart,"Mick Jagger, Keith Richards",Country Blues,Protected MPEG-4 video file
3614,Track 3614,Bongo Fury,Frank Zappa & Captain Beefheart,"Angus Young, Malcolm Young, Brian Johnson",Christian Metal,Protected AAC audio file
3656,Waves of the Past,Bongo Fury,Frank Zappa & Captain Beefheart,"Bono, The Edge",Traditional Pop,Protected AAC audio file
3633,Midnight Drive,Bongo Fury,Frank Zappa & Captain Beefheart,Kurt Cobain,Chicano,Purchased AAC audio file
3525,Track 3525,Bongo Fury,Frank Zappa & Captain Beefheart,"James Hetfield, Lars Ulrich",J-Punk,Protected MPEG-4 video file
3564,Track 3564,Bongo Fury,Frank Zappa & Captain Beefheart,"Robert Plant, Jimmy Page",Hip-Hop,AAC audio file
3700,Waves of the Past,One By One,Foo Fighters,"James Hetfield, Lars Ulrich",Contemporary Gospel,Protected MPEG-4 video file
3628,Track 3628,Iron Maiden,Iron Maiden,"John Lennon, Paul McCartney",Enka,MPEG audio file
3609,Track 3609,Iron Maiden,Iron Maiden,"Robert Plant, Jimmy Page",Spoken Word,Protected MPEG-4 video file
3629,Unbroken Chains,Iron Maiden,Iron Maiden,David Bowie,Jackin House,AAC audio file
3587,Fading Stardust,Iron Maiden,Iron Maiden,"Angus Young, Malcolm Young, Brian Johnson",Honky Tonk,MPEG audio file
3715,Whispers in the Dark,Up An' Atom,Gene Krupa,Jimi Hendrix,Foreign Cinema,MPEG audio file
3616,Burning Bridges,Up An' Atom,Gene Krupa,David Bowie,Christmas: Jazz,Protected AAC audio file
3714,Track 3714,Up An' Atom,Gene Krupa,David Bowie,Bounce,Protected AAC audio file
3612,Track 3612,Deixa Entrar,Falamansa,David Bowie,Roots Reggae,Protected AAC audio file
3658,Track 3658,Deixa Entrar,Falamansa,Kurt Cobain,Ragtime,MPEG audio file
3697,Track 3697,Deixa Entrar,Falamansa,"James Hetfield, Lars Ulrich",Karaoke,Protected AAC audio file
3624,Midnight Drive,Machine Head,Deep Purple,Freddie Mercury,Ragtime,AAC audio file
3663,Track 3663,Machine Head,Deep Purple,Jimi Hendrix,Soft Rock,AAC audio file
3661,Fading Stardust,Machine Head,Deep Purple,Kurt Cobain,Traditional Pop,Purchased AAC audio file
3654,Burning Bridges,Machine Head,Deep Purple,"James Hetfield, Lars Ulrich",Delta Blues,MPEG audio file
3573,Track 3573,Out Of Exile,Audioslave,Kurt Cobain,Conjunto,Protected MPEG-4 video file
3603,Revolution's End,Out Of Exile,Audioslave,Kurt Cobain,Christian Rap,AAC audio file
3630,Chasing Shadows,Out Of Exile,Audioslave,"Mick Jagger, Keith Richards",Reggaeton y Hip-Hop,Protected AAC audio file
3541,Track 3541,Out Of Exile,Audioslave,"James Hetfield, Lars Ulrich",Country Gospel,AAC audio file
3596,Track 3596,Prenda Minha,Caetano Veloso,Kurt Cobain,Contemporary Singer/Songwriter,Protected AAC audio file
3655,Chasing Shadows,Prenda Minha,Caetano Veloso,"Bono, The Edge",March (Marching Band),AAC audio file
3553,Track 3553,Prenda Minha,Caetano Veloso,Kurt Cobain,Christian & Gospel,MPEG audio file
3731,Track 3731,Prenda Minha,Caetano Veloso,"James Hetfield, Lars Ulrich",Christian Pop,AAC audio file
3554,Track 3554,Prenda Minha,Caetano Veloso,"John Lennon, Paul McCartney",Hard Dance,Protected AAC audio file
3716,Into the Abyss,Roda De Funk,Funk Como Le Gusta,David Bowie,Electro,Protected MPEG-4 video file
3674,Track 3674,Roda De Funk,Funk Como Le Gusta,Jimi Hendrix,Hair Metal,MPEG audio file
3518,Track 3518,Roda De Funk,Funk Como Le Gusta,"Robert Plant, Jimmy Page",Modern Composition,AAC audio file
3648,Starlight Serenade,Roda De Funk,Funk Como Le Gusta,David Bowie,Punk,MPEG audio file
3537,Electric Soul,Roda De Funk,Funk Como Le Gusta,Kurt Cobain,Traditional Country,Purchased AAC audio file
3709,Midnight Drive,Stormbringer,Deep Purple,"Mick Jagger, Keith Richards",J-Synth,AAC audio file
3710,Neon Nights,Stormbringer,Deep Purple,"Angus Young, Malcolm Young, Brian Johnson",CCM,Protected MPEG-4 video file
3566,Revolution's End,Stormbringer,Deep Purple,"Robert Plant, Jimmy Page",Lullabies,AAC audio file
3611,The Last Encore,Stormbringer,Deep Purple,"Bono, The Edge",Bluegrass,Protected MPEG-4 video file
3561,Phoenix Rising,Stormbringer,Deep Purple,Kurt Cobain,Vocal Jazz,AAC audio file
3681,Track 3681,Supernatural,Santana,David Bowie,Grunge,MPEG audio file
3505,Track 3505,Vozes do MPB,Various Artists,"James Hetfield, Lars Ulrich",High Classical,AAC audio file
3581,Track 3581,Vozes do MPB,Various Artists,Freddie Mercury,Christmas: Religious,AAC audio file
3522,Unbroken Chains,Vozes do MPB,Various Artists,"Angus Young, Malcolm Young, Brian Johnson",Shoegaze,Protected MPEG-4 video file
3639,Track 3639,Vozes do MPB,Various Artists,"James Hetfield, Lars Ulrich",Indie Rock,MPEG audio file
3520,Track 3520,Vozes do MPB,Various Artists,"Angus Young, Malcolm Young, Brian Johnson",Christmas: Jazz,Protected AAC audio file
3561,Track 3561,Vozes do MPB,Various Artists,David Bowie,Inspirational – Christian & Gospel,Purchased AAC audio file
3698,Track 3698,Vozes do MPB,Various Artists,Jimi Hendrix,Christian Metal,Protected AAC audio file
3635,Sunset Overdrive,Vozes do MPB,Various Artists,"Mick Jagger, Keith Richards",Techno,Protected MPEG-4 video file
